idx,Base salt,Initial loading,Final loading,Fitness
344,HoCl3,0.0,6.0,2.56
345,HoPO4,0.0,2.0,4.71
346,InCl3,0.0,3.0,2.46
347,InF3,0.0,3.0,2.88
348,K2C2O4,0.0,2.0,2.4
349,K2C2O4,0.0,1.0,2.14
350,K2C4H4O6,0.0,0.5,1.95
351,K2Co(SO4)2,2.0,6.0,2.4
352,K2CO3,0.0,2.0,2.17
353,K2CO3,0.5,1.5,2.06
354,K2CO3,0.0,1.5,2.19
355,K2CO3,0.0,0.5,2.19
356,K2Co(SO4)2,0.0,6.0,2.21
357,K2Cu(SO4)2,2.0,6.0,2.05
358,K2Cu(SO4)2,0.0,6.0,2.23
359,K2Cu(SO4)2,0.0,2.0,2.6
360,K2CuCl4,0.0,2.0,2.41
361,K2Fe(SO4)2,4.0,6.0,1.98
362,K2Fe(SO4)2,0.0,6.0,2.15
363,K2HgCl4,0.0,1.0,3.38
364,K2Mg(SeO4)2,2.0,6.0,2.2
365,K2Mg(SeO4)2,0.0,6.0,2.37
366,K2Mg(SeO4)2,0.0,2.0,2.36
367,K2Mg(SO4)2,4.0,6.0,1.68
368,K2Mg(SO4)2,2.0,6.0,1.86
369,K2Mg(SO4)2,0.0,6.0,2.04
370,K2Mg(SO4)2,2.0,4.0,1.99
371,K2Mg(SO4)2,0.0,4.0,2.22
372,K2Mg(SO4)2,0.0,2.0,2.19
373,K2Mn(SO4)2,2.0,6.0,1.88
374,K2Mn(SO4)2,0.0,6.0,2.03
375,K2Mn(SO4)2,2.0,4.0,2.07
376,K2Mn(SO4)2,0.0,4.0,2.3
377,K2Ni(SO4)2,2.0,6.0,2.06
378,K2Ni(SO4)2,0.0,6.0,2.12
379,K2PtBr4,0.0,2.0,3.78
380,K2TeO3,0.0,3.0,2.66
381,K2Zn(SeO4)2,0.0,6.0,2.58
382,K2Zn(SO4)2,2.0,6.0,2.07
383,K2Zn(SO4)2,0.0,6.0,2.3
384,K2Zn(SO4)2,0.0,2.0,2.31
385,K3PO4,0.0,7.0,3.15
386,K4Fe(CN)6,0.0,3.0,1.85
387,K4P2O7,0.0,3.0,2.21
