idx,Base salt,Initial loading,Final loading,Fitness
4017,VBr4,2,3.0,0.499
3167,CuCl2,2,4.0,1.45
297,CaCl2,1,12.0,2.689
1767,GaF3,2,3.0,1.368
1921,CaBr2,2,4.0,1.079
365,Zn3(AsO4)2,0,8.0,2.4
2461,CrCl3,0,9.0,2.861
4099,SrBr2,8,9.0,0.381
308,AlI3,0,9.0,3.103
230,SrI2,1,2.0,0.637
3455,VCl4,5,8.0,1.054
3580,SnCl2,2,4.0,0.98
2506,TiCl4,0,8.0,2.707
2445,MgI2,0,12.0,3.077
1517,SnF4,2,5.0,1.836
2947,MgI2,1,4.0,1.869
1347,LaF3,0,6.0,2.261
2113,GeF4,3,4.0,0.777
2248,GaBr3,8,9.0,0.545
4134,GeCl2,8,9.0,0.318
2079,MgCl2,6,8.0,0.736
471,LaBr3,0,8.0,2.324
741,La(IO3)3,2,8.0,1.08
599,RbBr,0,4.0,1.734
3513,NiCl3,2,3.0,1.042
310,Mg3(AsO4)2,0,8.0,2.66
418,CuCl2,0,4.0,2.463
1488,BaCl2,1,6.0,1.861
977,BeI2,8,9.0,0.128
3713,NiBr2,9,12.0,0.79
3320,VI4,3,8.0,1.319
1267,ScI3,0,7.0,2.474
538,BaBr2,2,12.0,1.895
2592,TiF4,1,5.0,2.468
3710,PbI2,8,12.0,0.83
1273,VBr2,0,4.0,2.453
2642,NiCl2,1,6.0,2.411
2692,CrBr3,0,7.0,2.374
1247,VBr3,1,9.0,2.398
3739,BaCl2,4,6.0,0.808
2625,CuF2,0,2.0,2.606
2754,CaBr2,1,6.0,2.217
4078,LaBr3,6,8.0,0.416
245,MgCO3,0,5.0,3.01
438,SnBr2,0,12.0,2.304
210,AlPO4,0,11.0,3.55
2133,PbBr2,9,12.0,0.738
3589,ScF3,2,3.0,0.956
1662,ZnF2,4,9.0,1.46
705,SrBr2,1,4.0,1.38
3743,LaBr3,6,10.0,0.814
1621,LaBr3,2,6.0,1.64
3728,NaI,1,2.0,0.839
1383,GaCl3,3,9.0,1.973
249,Ba(OH)2,1,8.0,3.12
149,BaI2,2,12.0,1.785
3143,MoCl3,2,6.0,1.48
3639,CoCl2,4,6.0,0.895
742,BeI2,4,9.0,1.2
1363,YF3,0,4.0,2.206
2281,LaBr3,7,9.0,0.43
3960,YCl3,6,8.0,0.546
437,GaCl3,2,9.0,2.256
2728,BaF2,0,4.0,2.339
1209,SrI2,0,12.0,2.433
1630,PbCl4,3,8.0,1.586
1113,HfF4,0,8.0,2.906
3972,LiBr,3,4.0,0.538
3786,PbI2,2,4.0,0.81
64,CrAsO4,0,11.0,3.42
12,NiF2,0,4.0,3.759
93,ZrF4,0,3.0,2.509
3569,YBr3,4,6.0,1.021
1825,YCl3,1,3.0,1.209
1513,VCl4,3,8.0,1.728
83,SrCO3,0,6.0,2.78
584,PbBr4,0,8.0,1.9
2964,VCl2,6,12.0,1.584
805,YBr3,6,10.0,0.972
1022,NiF2,0,8.0,3.337
881,LiCl,3,4.0,0.64
1061,CaCl2,0,9.0,2.868
1792,BeCl2,4,8.0,1.161
3756,MgI2,1,2.0,0.834
