idx,Base salt,Initial loading,Final loading,Fitness
378,ZnI2,0,12.0,2.544
379,BeF2,0,2.0,2.485
380,YBr3,0,7.0,2.645
381,YBr3,0,6.0,2.675
382,CaBr2,1,9.0,2.499
383,LaCl3,0,7.0,2.601
384,CoCl3,0,6.0,2.541
385,ScBr3,0,6.0,2.593
386,PbCl2,0,12.0,2.478
387,GaBr3,0,9.0,2.555
388,CaBr2,2,12.0,2.341
389,ZnF2,0,2.0,2.679
390,CaI2,1,12.0,2.425
391,YI3,0,10.0,2.613
392,MgCl2,4,12.0,2.198
393,ZnI2,0,9.0,2.588
394,MnI2,0,9.0,2.568
395,TiF4,0,3.0,2.525
396,MgI2,2,9.0,2.55
397,YI3,0,9.0,2.612
398,SrI2,0,12.0,2.433
399,MgBr2,1,6.0,2.515
400,SrBr2,1,12.0,2.355
401,YBr3,0,9.0,2.468
402,ScI3,0,8.0,2.594
403,SrBr2,0,6.0,2.565
404,MgF2,4,12.0,2.242
405,WCl4,0,8.0,2.55
406,GeBr2,0,12.0,2.353
407,CaF2,0,4.0,2.38
408,HfF4,0,5.0,2.604
409,PbCl4,0,8.0,2.545
410,LiBr,0,2.0,2.524
411,NiF2,4,12.0,2.327
412,GeF4,2,8.0,2.426
413,SnF4,0,2.0,2.641
414,AlF3,3,9.0,2.297
415,SrF2,2,12.0,2.283
416,AlF3,0,2.0,2.525
417,LaBr3,0,10.0,2.521
418,CuCl2,0,4.0,2.463
419,ScI3,0,9.0,2.486
420,TiF4,2,8.0,2.314
421,ZrBr4,0,8.0,2.531
422,SrCl2,2,12.0,2.191
423,RbF,0,2.0,2.485
424,ZrF4,0,5.0,2.441
425,NiCl2,1,6.0,2.411
426,SrBr2,1,9.0,2.436
427,KF,0,2.0,2.301
428,BaBr2,0,12.0,2.31
429,LaCl3,0,6.0,2.45
430,NiCl3,0,6.0,2.378
431,CaI2,1,9.0,2.414
432,YI3,0,8.0,2.503
433,ZrF4,0,3.0,2.509
434,ZnF2,4,12.0,2.25
435,HfF4,0,3.0,2.581
436,GaF3,3,9.0,2.308
437,GaCl3,2,9.0,2.256
438,SnBr2,0,12.0,2.304
439,LaBr3,0,7.0,2.503
440,MgI2,0,4.0,2.486
441,LaF3,0,9.0,2.311
442,LiI,0,3.0,2.433
443,SnF4,2,8.0,2.375
444,MnCl4,0,5.0,2.352
445,ScI3,0,7.0,2.474
446,SnF2,2,12.0,2.256
447,NaBr,0,4.0,2.302
448,ZnCl2,0,4.0,2.369
449,MnCl2,1,6.0,2.295
450,KF,1,4.0,2.138
451,CaCl2,0,4.0,2.177
452,SrI2,0,8.0,2.399
453,ScCl3,0,4.0,2.265
454,PbBr2,0,12.0,2.316
455,VBr4,0,8.0,2.39
456,LaCl3,0,9.0,2.194
457,SrI2,1,12.0,2.221
458,YI3,0,7.0,2.402
459,GaBr3,0,6.0,2.382
460,CaI2,2,12.0,2.184
461,MgI2,1,6.0,2.339
462,LaI3,0,9.0,2.375
463,SrI2,1,9.0,2.331
464,LaI3,0,10.0,2.36
465,MoBr4,0,8.0,2.355
466,MgBr2,4,12.0,2.108
467,PbF2,2,12.0,2.255
468,BaI2,0,9.0,2.329
469,SrBr2,2,12.0,2.124
470,ScF3,0,3.0,2.249
471,LaBr3,0,8.0,2.324
472,CaCl2,4,12.0,1.954
473,SrI2,0,6.0,2.352
474,KCl,0,4.0,2.0
475,BaCl2,0,6.0,2.261
476,CaF2,4,12.0,2.003
477,MgCl2,0,2.0,2.186
478,MnBr2,0,4.0,2.329
479,SrI2,0,7.0,2.314
480,BaI2,0,12.0,2.19
481,LaBr3,0,6.0,2.339
482,GaCl3,1,6.0,2.203
483,GaF3,0,3.0,2.308
484,YI3,0,6.0,2.356
485,CaBr2,2,9.0,2.168
486,CaBr2,0,4.0,2.261
487,ScI3,0,6.0,2.312
488,MnCl4,2,8.0,2.142
489,MgBr2,2,8.0,2.138
490,SnCl4,0,5.0,2.247
491,LiCl,1,4.0,1.997
492,MgCl2,1,4.0,2.08
493,BaBr2,1,12.0,2.097
494,SnF2,0,4.0,2.24
495,CaI2,0,6.0,2.228
496,VCl4,0,5.0,2.153
497,ZnCl2,4,12.0,1.989
498,LiI,0,2.0,2.268
499,SnCl2,2,12.0,2.011
500,MgI2,2,8.0,2.187
501,TiF4,0,2.0,2.189
502,ScF3,3,9.0,1.976
503,HfF4,2,8.0,2.176
504,BaCl2,2,12.0,1.958
505,LaBr3,0,9.0,2.113
506,ScCl3,3,9.0,1.924
507,CrI3,0,9.0,2.171
508,BaBr2,0,6.0,2.175
509,LaI3,0,8.0,2.189
510,PbCl2,2,12.0,2.035
511,SrI2,2,12.0,2.015
512,SrBr2,2,9.0,2.087
513,SrF2,0,4.0,2.067
514,CaI2,2,9.0,2.077
515,CaF2,0,2.0,2.122
516,PbF2,0,4.0,2.194
517,SnI2,0,12.0,2.033
518,GeF4,3,8.0,2.006
519,SrBr2,1,6.0,2.104
520,NaCl,0,2.0,1.949
521,CaBr2,4,12.0,1.881
522,SnCl2,0,4.0,2.059
523,TiF4,3,8.0,1.921
524,MgI2,4,12.0,1.956
525,RbF,1,4.0,1.982
526,MgBr2,1,4.0,2.065
527,SrF2,4,12.0,1.866
528,SrI2,1,8.0,2.071
529,MgCl2,4,9.0,1.854
530,BaI2,1,12.0,1.967
531,ScCl3,0,3.0,1.948
532,NaCl,1,4.0,1.838
533,CuBr2,0,4.0,2.093
534,PbI2,0,12.0,2.017
535,GaI3,0,9.0,2.052
536,RbF,0,1.0,2.085
537,LaI3,0,6.0,2.099
538,BaBr2,2,12.0,1.895
539,SrI2,2,9.0,2.027
540,NiBr3,0,6.0,2.051
541,RbCl,0,4.0,1.866
542,LiCl,0,1.0,1.904
543,LaI3,0,7.0,2.064
544,PbCl4,0,5.0,2.052
545,SnF4,3,8.0,1.962
546,SnBr2,2,12.0,1.883
547,BaI2,1,9.0,2.006
548,SnCl4,0,4.0,1.993
549,MgBr2,2,6.0,1.952
550,GeBr2,0,4.0,2.016
551,KBr,0,4.0,1.846
552,BaI2,0,6.0,2.029
553,YBr3,3,10.0,1.964
554,GeF4,2,5.0,1.935
