idx,Base salt,Initial loading,Final loading,Fitness,Origin
1988,BeF2,0.0,2.0,59.37287498999999,s
1830,MgCl2,0.0,9.0,68.654194,s
1355,ZnF2,4.0,12.0,44.33286537475,s
1740,SnBr4,3.0,5.0,56.445984,s
2982,YF3,3.0,4.0,31.14406071,s
816,SnCl4,5.0,8.0,68.6,e
2666,BaF2,8.0,12.0,37.6646412135,s
3024,BaCl2,8.0,9.0,41.856435000000005,s
4020,ScI3,3.0,6.0,70.9977312,s
1004,Zr(SO4)2,0.0,1.0,94.99,e
4456,VCl2,6.0,8.0,31.33868375,s
1410,SnCl2,2.0,12.0,49.8417608,s
1790,LaI3,6.0,8.0,44.1740955,s
1431,SnCl2,0.0,4.0,61.685402,s
2536,SrBr2,7.0,12.0,51.300456,s
1952,GaCl3,0.0,6.0,67.537499,s
3263,TaCl4,0.0,8.0,65.0713860625,s
3684,CaBr2,1.0,4.0,60.77463133333333,s
3800,ScCl3,0.0,2.0,66.1327497,s
4258,NiBr2,7.0,9.0,52.30755899999999,s
3245,VF4,1.0,5.0,67.061352744,s
4402,BaCl2,6.0,9.0,32.260563,s
5276,PbCO3,0.0,3.0,51.40067200000001,s
720,(NH4)2Zn(SO4)2,2.0,6.0,64.0,e
4417,SiF4,4.0,5.0,46.029480224,s
320,H2SO4,4.0,6.5,47.0,e
4394,NiBr2,4.0,6.0,37.926162,s
3477,YI3,2.0,9.0,67.74237462857144,s
2156,TiF4,1.0,4.0,65.42209634533332,s
1054,HfF4,0.0,8.0,62.0326871175,s
935,VOSO4,3.0,5.0,56.9,e
3631,NiBr2,1.0,4.0,57.690385,s
5038,PbCO3,0.0,6.0,55.66938133333334,s
295,FeCl2,1.0,4.0,58.06,e
4170,LaI3,4.0,7.0,67.50113066666667,s
301,FeCl3,0.0,2.5,60.5,e
351,K2Co(SO4)2,2.0,6.0,61.0,e
617,Na2Mg(SO4)4,0.0,4.0,120.2,e
3270,TiF4,0.0,3.0,71.76857350666666,s
2428,PbCl2,1.0,4.0,59.455029,s
5339,Sr(BrO3)2,1.0,6.0,48.5519328,s
5639,Co3(PO4)2,0.0,1.0,53.866024800000005,s
1127,GaBr3,2.0,9.0,57.11756657142858,s
4482,BaBr2,2.0,4.0,38.980656,s
1543,BeF2,2.0,4.0,35.499166515,s
1961,CaI2,0.0,9.0,66.07281066666667,s
2681,NaCl,1.0,2.0,44.80425322000001,s
2693,RbCl,2.0,4.0,45.908109,s
1572,SrBr2,6.0,12.0,48.705966,s
1389,CaCl2,4.0,12.0,50.255882,s
406,KMnCl3,0.0,2.0,60.6,e
4448,GeF4,4.0,5.0,51.64556972,s
3542,SrBr2,0.0,4.0,61.820928,s
4842,AlAsO4,2.0,11.0,54.67262333333333,s
5517,Ca3(PO4)2,7.0,10.0,44.921418800000005,s
4041,ZrBr4,2.0,5.0,61.829173,s
888,(UO2)3(PO4)2,0.0,6.0,64.33,e
1429,GeF4,3.0,8.0,51.8843822488,s
3331,VBr2,2.0,9.0,56.543433928571424,s
1972,ZnCl2,0.0,8.0,54.29361175,s
1739,RbBr,0.0,1.0,50.9815304,s
5200,Ca(ClO4)2,1.0,8.0,53.198274857142856,s
1178,MgI2,9.0,12.0,45.94866166666666,s
452,LiI,0.0,3.0,58.9,e
5382,Sn(H2PO4)2,0.0,4.0,50.014198,s
4317,BeF2,9.0,12.0,17.583393564,s
4645,CoBr2,6.0,8.0,25.6045056,s
3237,BaCl2,0.0,12.0,57.296160000000015,s
3086,ZnF2,0.0,12.0,59.89027139116667,s
1603,KF,1.0,2.0,55.104872972,s
544,MgSO4,0.0,2.0,61.76,e
5148,Ba3(AsO4)2,0.0,11.0,58.930471090909094,s
3585,BaCl2,4.0,12.0,49.065573,s
4030,CaBr2,8.0,12.0,47.79486099999999,s
4424,YCl3,7.0,9.0,48.91887135,s
5562,CaHPO4,2.0,3.0,52.3852722,s
687,NaNiF3,0.0,3.0,68.3,e
1546,RbCl,1.0,4.0,50.856725866666665,s
284,Fe2(SO4)3,0.0,9.0,58.37,e
136,CaSO4,0.5,2.0,54.49,e
1514,ZrF4,3.0,8.0,45.900288380800006,s
4854,CrPO4,2.0,9.0,53.05405851428572,s
771,Rb2CO3,1.0,3.5,54.94,e
1196,GeF4,0.0,8.0,74.0906017875,s
5528,FePO4,0.0,1.0,47.273340800000014,s
356,K2Co(SO4)2,0.0,6.0,61.0,e
1880,BeI2,0.0,4.0,105.906173175,s
4710,BeCl2,8.0,9.0,19.488702820000004,s
3400,WBr4,0.0,8.0,61.76351475,s
2327,WCl4,3.0,8.0,61.529076,s
2799,ZnBr2,9.0,12.0,43.281115,s
5169,AlAsO4,4.0,9.0,50.68319652,s
4321,SnBr2,9.0,12.0,48.99466866666666,s
1065,BaCl2,0.0,12.0,57.296160000000015,s
1849,ZnF2,1.0,12.0,56.63503374509091,s
1787,LaBr3,7.0,9.0,44.36728249999999,s
3436,NiBr2,1.0,6.0,53.2614258,s
2180,CaCl2,2.0,8.0,50.93517000000001,s
3630,ZrCl4,3.0,8.0,58.6762312,s
590,Na2B4O8H2,1.5,3.0,54.31,e
3329,ScI3,0.0,7.0,71.80949691428572,s
2127,SnF2,0.0,4.0,54.441739828,s
604,Na2CrO4,4.0,10.0,49.69,e
819,SnCl4,2.0,8.0,69.17,e
1798,BeBr2,8.0,9.0,35.87235456,s
4507,PbBr2,0.0,1.0,54.28824299999999,s
2324,YCl3,0.0,3.0,71.55194130000001,s
3738,ZnF2,4.0,9.0,31.0683600436,s
4012,CuBr2,8.0,12.0,47.3400935,s
5328,MnCO3,3.0,6.0,40.558128,s
3264,YI3,0.0,10.0,67.64099454,s
1579,PbCl2,0.0,2.0,60.785315999999995,s
5265,AlAsO4,5.0,9.0,47.592148,s
122,CaCO3,0.0,1.0,48.47,e
5125,Sr3(PO4)2,1.0,11.0,56.33279208,s
5581,PbHAsO4,0.0,1.0,47.4684821,s
5424,CaHAsO4,4.0,7.0,45.2500862,s
1554,BeBr2,4.0,9.0,41.992798196,s
4034,PbCl2,8.0,12.0,52.699983,s
423,La2(SO4)3,0.0,9.0,59.1,e
5516,PbHAsO4,2.0,4.0,45.978860399999995,s
632,Na2SeO4,0.0,10.0,57.16,e
5701,Ba(ClO4)2,5.0,6.0,38.967082,s
2905,KBr,1.0,2.0,47.13395119999999,s
1524,CaBr2,1.0,4.0,60.77463133333333,s
3914,MnBr3,4.0,9.0,47.628955,s
1384,PbF2,2.0,12.0,47.5963075914,s
3970,VF3,4.0,6.0,43.621912827,s
4227,MoCl4,3.0,5.0,56.809765000000006,s
4488,GeF2,6.0,8.0,24.485006602,s
1710,SrI2,6.0,9.0,46.006808666666664,s
5461,KOH,2.0,3.0,42.9899886,s
1006,ZrF4,0.0,3.0,67.5,e
4918,CaHPO4,1.0,3.0,53.3476923,s
4767,LaBr3,7.0,8.0,34.11039499999999,s
5521,NaH2PO4,1.0,2.0,55.19682800000001,s
2178,VF4,3.0,8.0,51.518200588800006,s
1100,CaCl2,4.0,12.0,50.255882,s
1515,HfF4,3.0,8.0,50.2366456296,s
4215,YBr3,2.0,4.0,64.36035434999998,s
4650,PbBr2,4.0,6.0,28.011141,s
2052,CaI2,1.0,9.0,62.96379375,s
4659,SnBr4,3.0,4.0,57.952766999999994,s
3223,ZnCl2,0.0,8.0,54.29361175,s
1549,LaBr3,0.0,3.0,67.49535,s
1234,BeI2,0.0,4.0,105.906173175,s
2383,LaF3,0.0,3.0,45.65674951066668,s
1929,VF4,0.0,4.0,71.63824032,s
2164,LaI3,0.0,8.0,65.87609575,s
5386,PbHAsO4,3.0,7.0,49.25449247499999,s
4734,CaI2,7.0,8.0,45.849888,s
3567,MoI4,0.0,8.0,57.197367,s
419,La2(CO3)3,0.5,8.0,57.98,e
245,Cu(HCOO)2,0.0,4.0,55.6,e
5197,CrAsO4,5.0,11.0,46.844148,s
5600,Co3(AsO4)2,3.0,4.0,80.35101,s
1553,CaI2,4.0,9.0,53.9085456,s
550,Mn(ClO4)2,4.0,6.0,20.0,e
1627,BeI2,4.0,8.0,44.62291723500001,s
661,NaBO3,0.0,4.0,68.0,e
920,UO3,0.9,1.0,71.4,e
2545,YI3,4.0,8.0,67.16824559999999,s
898,UO2(NO3)2,1.0,2.0,72.9,e
3053,ScI3,7.0,8.0,51.4673904,s
1682,BeI2,4.0,7.0,42.776934300000015,s
1884,LiF,0.0,4.0,47.75020911175,s
2468,RbBr,0.0,3.0,45.78497226666667,s
3137,MgCl2,2.0,12.0,60.4692756,s
5571,LaAsO4,1.0,2.0,56.20954299999999,s
820,SnCl4,0.0,8.0,69.08,e
3866,HfCl4,4.0,8.0,58.1676665,s
3674,YCl3,4.0,9.0,56.72557212,s
2637,GeCl2,2.0,4.0,51.254673,s
630,Na2Se,0.0,4.5,68.63,e
2953,GaCl3,2.0,3.0,50.658534,s
5702,Ca(ClO4)2,5.0,6.0,30.839543999999997,s
5272,NaOH,4.0,7.0,32.2878014,s
5477,Sr(NO3)2,0.0,2.0,48.293661,s
5490,CrPO4,7.0,9.0,40.2594192,s
1789,BeI2,7.0,9.0,30.03454359,s
3309,CrBr3,1.0,9.0,65.3197215,s
210,CrF3,0.0,5.0,54.52,e
1898,CaBr2,0.0,12.0,66.70956933333333,s
4994,Na3PO4,0.0,8.0,61.99720983750001,s
430,LaCl3,0.0,3.0,71.37,e
4269,LaI3,1.0,3.0,64.7331085,s
2672,CaCl2,6.0,9.0,35.92174766666667,s
253,CuCl2,0.0,2.0,56.32,e
4309,KBr,0.0,1.0,51.38148749999999,s
1728,AlI3,6.0,9.0,49.09835758666667,s
702,Nd(NO3)3,0.0,3.0,59.97,e
1640,MnCl4,5.0,8.0,50.159,s
4954,Ca(OH)2,0.0,8.0,60.00905350000001,s
4548,YBr3,0.0,1.0,52.341567899999994,s
3917,CaCl2,8.0,12.0,40.544689,s
5025,K2CO3,1.0,10.0,56.063616,s
1576,PbI2,0.0,4.0,53.0403655,s
536,MgSO4,4.0,5.0,55.47,e
1519,KF,0.0,1.0,62.944378381,s
924,VBr3,0.0,6.0,68.2,e
2302,PbBr2,0.0,4.0,60.262083,s
5228,Ca3(PO4)2,3.0,10.0,51.10799005714286,s
1944,CaF2,2.0,12.0,48.1076539578,s
595,Na2C2H4O6,0.0,2.0,44.53,e
4847,FeAsO4,1.0,9.0,55.49261525000001,s
1872,GeF4,0.0,3.0,91.52058975333335,s
1096,LaI3,0.0,9.0,66.96339288888889,s
102,CaAl2Si2O8,0.0,1.0,73.48,e
1297,GaCl3,1.0,9.0,63.599526375,s
689,NaOH,1.0,7.0,55.0,e
5613,Mg(ClO4)2,6.0,8.0,37.589249,s
4112,CoI2,8.0,12.0,50.89009095000001,s
1271,HfCl4,0.0,8.0,73.72699250000001,s
1381,LaI3,0.0,10.0,63.4690483,s
108,CaBr2,0.0,6.0,62.08,e
29,AlPO4,0.0,2.0,67.2,e
583,MnSO4,1.0,4.0,52.0,e
4811,K2Se,5.0,9.0,52.43329725,s
3514,CsF,0.0,2.0,69.06567260249999,s
5121,SnHPO4,0.0,7.0,50.62932902857143,s
3888,NiI2,6.0,12.0,46.756588833333346,s
1712,GeF4,2.0,3.0,54.810943348,s
986,ZnSeO4,1.0,6.0,53.19,e
2764,PbCl4,2.0,4.0,62.954367000000005,s
3478,BeCl2,4.0,12.0,38.1705049175,s
3626,PbCl4,0.0,4.0,66.529376,s
3398,YF3,1.0,7.0,46.39570924400001,s
3829,ScI3,4.0,9.0,64.57119888000001,s
5499,VPO4,7.0,9.0,40.0274292,s
4064,TiCl4,5.0,8.0,50.132689666666664,s
4226,SrCl2,2.0,4.0,44.45604600000001,s
1043,GaCl3,0.0,9.0,68.46954533333333,s
1344,ZrBr4,0.0,8.0,69.30013050000001,s
5310,Mn2As2O7,1.0,6.0,50.79690000000001,s
5390,MnCO3,3.0,5.0,46.04804599999999,s
90,Ca(NO3)2,0.0,4.0,58.95,e
1564,YCl3,3.0,6.0,58.0061034,s
1340,LaBr3,0.0,10.0,60.346889999999995,s
763,PrCl3,0.0,7.0,62.0,e
5402,KBrO3,3.0,6.0,44.94591833333333,s
69,BeSO4,0.0,2.0,69.25,e
5206,CaHAsO4,2.0,7.0,53.47626966,s
5436,PbHPO4,4.0,7.0,50.0114062,s
2625,PbI2,6.0,12.0,49.606462833333346,s
4562,SnI4,3.0,5.0,50.006519,s
298,FeCl2,0.0,2.0,61.41,e
2837,PbI2,2.0,4.0,54.4257705,s
