idx,Base salt,Initial loading,Final loading,Fitness
1569,SnCl4,3,8.0,1.674
107,K2HPO4,0,6.0,2.35
316,MnAsO4,1,9.0,2.57
936,CaHAsO4,3,4.0,0.51
3568,VF3,2,3.0,0.996
221,SrI2,0,1.0,0.793
1448,SnCl4,0,4.0,1.993
1224,LiBr,0,2.0,2.524
3997,SnI4,3,5.0,0.546
691,MgBr2,4,8.0,1.346
2744,SrCl2,1,6.0,2.184
3116,YI3,3,8.0,1.566
2858,CaI2,1,8.0,1.927
692,Cu(IO3)2,2,6.0,1.24
536,K2HPO4,2,6.0,1.58
177,MgCl2,2,4.0,1.346
4208,VI3,7,8.0,0.184
2379,CrF3,0,9.0,3.765
3924,VCl4,2,3.0,0.6
3452,VCl4,0,2.0,1.115
1890,RbBr,0,2.0,1.126
1938,MgCl2,9,12.0,0.9
2985,ZrCl4,0,3.0,1.756
2863,GeBr2,0,4.0,2.016
3021,NiCl2,6,12.0,1.534
2194,GaBr3,0,1.0,0.682
216,AlAsO4,0,11.0,3.5
826,NaNO3,3,5.0,0.7
1386,SrI2,2,12.0,2.015
1013,MgCl2,0,6.0,3.351
1050,ZnCl2,0,12.0,2.926
1466,SnF2,2,8.0,1.913
2410,CuF2,0,4.0,3.549
58,VPO4,0,11.0,3.53
1729,VCl4,2,5.0,1.375
3189,MgCl2,2,4.0,1.346
3385,BaI2,0,2.0,1.277
993,Sn(H2PO4)2,0,1.0,0.35
2028,BeI2,4,7.0,0.922
86,LiOH,0,1.0,2.5
71,VPO4,1,11.0,3.07
2296,ScBr3,3,4.0,0.428
219,YI3,6,9.0,0.777
2243,GaCl3,2,3.0,0.557
1827,VBr3,1,3.0,1.275
582,NaBr,0,2.0,1.831
4060,LaI3,6,8.0,0.439
2540,SnF4,0,3.0,2.855
43,RbF,0,4.0,2.923
210,NiCl2,0,1.0,0.959
189,Ca(IO3)2,0,1.0,0.61
354,LiBr,0,4.0,2.702
2554,GeF4,1,4.0,2.694
677,VF3,3,6.0,1.429
960,Ba(ClO4)2,4,6.0,0.45
3170,CoI3,0,6.0,1.529
367,SnCl2,0,12.0,2.485
34,K2Se,0,5.0,2.344
4077,PbBr2,8,9.0,0.422
3007,TiF4,1,3.0,1.707
135,RbF,0,1.0,2.085
2281,LaBr3,7,9.0,0.43
47,MnCl4,0,8.0,2.833
2770,BaCl2,1,9.0,2.116
2180,SnI2,9,12.0,0.663
863,KIO3,0,1.0,0.73
1984,ZnF2,6,9.0,0.942
670,BeBr2,4,9.0,1.413
854,Zn3(PO4)2,4,7.0,0.74
1195,ZnBr2,0,6.0,2.62
2316,YBr3,3,4.0,0.374
61,SrBr2,0,12.0,2.586
2325,CaBr2,8,9.0,0.332
624,Sr(OH)2,0,1.0,1.42
95,HfF4,0,3.0,2.581
1966,KBr,2,4.0,0.947
478,MnBr2,0,4.0,2.329
3685,BeCl2,9,12.0,0.75
747,LaAsO3,0,1.0,1.06
2014,MgBr2,1,2.0,0.959
487,Pb(NO3)2,0,6.0,1.9
764,AlCl3,6,9.0,1.013
1990,CaI2,4,7.0,0.977
3468,TiCl4,5,8.0,1.036
812,MnCl4,3,5.0,0.913
3463,YCl3,4,6.0,1.09
271,AlAsO4,0,5.0,2.95
322,AlI3,0,6.0,3.034
3556,ZrCl4,2,4.0,0.997
874,Ca(IO3)2,4,6.0,0.7
3208,MgF2,9,12.0,1.25
718,RbBr,1,4.0,1.308
3559,GaI3,0,3.0,1.049
1851,SnI2,1,4.0,1.244
2294,NiI2,8,9.0,0.424
1611,CaBr2,1,4.0,1.63
1562,ZnCl2,6,12.0,1.55
1605,CaCl2,4,9.0,1.477
3689,VBr2,9,12.0,0.797
291,MgI2,0,12.0,3.077
4059,AlBr3,7,8.0,0.424
1185,LaCl3,0,7.0,2.601
1108,CuCl2,0,9.0,2.764
533,CuBr2,0,4.0,2.093
1781,MgF2,4,8.0,1.197
270,VPO4,2,11.0,2.78
2788,BaBr2,0,6.0,2.175
4124,PbI2,0,1.0,0.374
2856,SnF4,3,8.0,1.962
657,SnCl2,0,2.0,1.579
2784,ZnF2,2,6.0,2.127
3330,PbCl4,4,8.0,1.27
1891,AlCl3,6,9.0,1.013
1468,CoCl3,3,9.0,1.799
3927,LaBr3,6,9.0,0.595
