idx,Base salt,Initial loading,Final loading,Fitness,Origin
720,(NH4)2Zn(SO4)2,2.0,6.0,1.22,e
4417,SiF4,4.0,5.0,0.678,s
320,H2SO4,4.0,6.5,0.84,e
4394,NiBr2,4.0,6.0,0.748,s
3477,YI3,2.0,9.0,2.078,s
2156,TiF4,1.0,4.0,2.085,s
1054,HfF4,0.0,8.0,2.906,s
935,VOSO4,3.0,5.0,0.93,e
3631,NiBr2,1.0,4.0,1.795,s
5038,PbCO3,0.0,6.0,2.74,s
295,FeCl2,1.0,4.0,1.73,e
4170,LaI3,4.0,7.0,1.014,s
301,FeCl3,0.0,2.5,1.49,e
351,K2Co(SO4)2,2.0,6.0,1.46,e
617,Na2Mg(SO4)4,0.0,4.0,3.5,e
3270,TiF4,0.0,3.0,2.525,s
2428,PbCl2,1.0,4.0,1.569,s
5339,Sr(BrO3)2,1.0,6.0,1.38,s
5639,Co3(PO4)2,0.0,1.0,0.52,s
1127,GaBr3,2.0,9.0,1.912,s
4482,BaBr2,2.0,4.0,0.634,s
1543,BeF2,2.0,4.0,1.447,s
1961,CaI2,0.0,9.0,2.738,s
2681,NaCl,1.0,2.0,0.974,s
2693,RbCl,2.0,4.0,0.952,s
1572,SrBr2,6.0,12.0,1.3,s
1389,CaCl2,4.0,12.0,1.954,s
406,KMnCl3,0.0,2.0,1.14,e
4448,GeF4,4.0,5.0,0.66,s
3542,SrBr2,0.0,4.0,1.901,s
4842,AlAsO4,2.0,11.0,2.8,s
5517,Ca3(PO4)2,7.0,10.0,0.79,s
4041,ZrBr4,2.0,5.0,1.161,s
888,(UO2)3(PO4)2,0.0,6.0,1.55,e
1429,GeF4,3.0,8.0,2.006,s
3331,VBr2,2.0,9.0,2.357,s
1972,ZnCl2,0.0,8.0,2.516,s
1739,RbBr,0.0,1.0,0.722,s
5200,Ca(ClO4)2,1.0,8.0,1.8,s
1178,MgI2,9.0,12.0,0.72,s
452,LiI,0.0,3.0,2.24,e
5382,Sn(H2PO4)2,0.0,4.0,1.24,s
4317,BeF2,9.0,12.0,0.719,s
4645,CoBr2,6.0,8.0,0.397,s
3237,BaCl2,0.0,12.0,2.389,s
3086,ZnF2,0.0,12.0,3.533,s
1603,KF,1.0,2.0,1.196,s
544,MgSO4,0.0,2.0,1.75,e
5148,Ba3(AsO4)2,0.0,11.0,2.15,s
3585,BaCl2,4.0,12.0,1.643,s
4030,CaBr2,8.0,12.0,1.039,s
4424,YCl3,7.0,9.0,0.638,s
5562,CaHPO4,2.0,3.0,0.68,s
687,NaNiF3,0.0,3.0,2.74,e
1546,RbCl,1.0,4.0,1.42,s
284,Fe2(SO4)3,0.0,9.0,1.97,e
136,CaSO4,0.5,2.0,1.1,e
1514,ZrF4,3.0,8.0,1.623,s
4854,CrPO4,2.0,9.0,2.58,s
771,Rb2CO3,1.0,3.5,1.17,e
